tweet,sentiment,followers,following,id,topic
What do you think? #Question #Poll #Samsung 454,neutral,1058,287,0,Samsung
Interesting article. #Read #Info #Politics 596,neutral,2,3543,1,Politics
Interesting article. #Read #Info #Politics 4,neutral,10,2444,2,Politics
Is my data safe? #Privacy #Hack #Climate 364,fear,1407,1057,3,Climate
Market is crashing! #Panic #Crash #Samsung 654,fear,1388,1119,4,Samsung
This feature is a game changer. #Innovation #Future #Apple 351,happy,690,730,5,Apple
I hate this bug! #Broken #FixIt #Samsung 178,angry,31,1686,6,Samsung
Link in bio. #Link #Profile #Climate 611,neutral,112,1932,7,Climate
I am worried about the future. #Uncertainty #Risk #Apple 282,fear,35,2466,8,Apple
I hate this bug! #Broken #FixIt #Samsung 848,angry,1104,1003,9,Samsung
I hate this bug! #Broken #FixIt #Crypto 632,angry,768,1382,10,Crypto
This feature is a game changer. #Innovation #Future #Apple 881,happy,1396,1036,11,Apple
I am worried about the future. #Uncertainty #Risk #Apple 683,fear,1897,552,12,Apple
I hate this bug! #Broken #FixIt #Tesla 871,angry,1663,847,13,Tesla
Unacceptable behavior. #Boycott #Mad #Crypto 646,angry,30,1153,14,Crypto
Market is crashing! #Panic #Crash #Apple 978,fear,1053,737,15,Apple
This is terrible service. #Fail #Angry #Climate 112,angry,388,128,16,Climate
Market is crashing! #Panic #Crash #Apple 850,fear,29,2649,17,Apple
Just checking in. #Update #News #Tesla 240,neutral,1679,1873,18,Tesla
I am worried about the future. #Uncertainty #Risk #Tesla 520,fear,1679,400,19,Tesla
This is terrible service. #Fail #Angry #Tesla 634,angry,1286,1818,20,Tesla
This feature is a game changer. #Innovation #Future #Tesla 45,happy,676,457,21,Tesla
Market is crashing! #Panic #Crash #Politics 477,fear,1169,1360,22,Politics
I am worried about the future. #Uncertainty #Risk #Apple 819,angry,25,4863,23,Apple
I am worried about the future. #Uncertainty #Risk #Politics 299,fear,1462,645,24,Politics
Is my data safe? #Privacy #Hack #Samsung 791,angry,6,3411,25,Samsung
Market is crashing! #Panic #Crash #Apple 891,fear,1612,776,26,Apple
Is my data safe? #Privacy #Hack #Apple 765,fear,1098,140,27,Apple
I hate this bug! #Broken #FixIt #Samsung 954,angry,14,2656,28,Samsung
I love this update! #Amazing #Tech #Politics 309,happy,1716,1955,29,Politics
I love this update! #Amazing #Tech #Politics 674,angry,27,3664,30,Politics
This is terrible service. #Fail #Angry #Politics 965,angry,8,3643,31,Politics
Just checking in. #Update #News #Samsung 450,neutral,743,1709,32,Samsung
Unacceptable behavior. #Boycott #Mad #Crypto 421,angry,783,1387,33,Crypto
Interesting article. #Read #Info #Climate 424,neutral,1985,338,34,Climate
Worst experience ever. #Scam #Refund #Tesla 618,angry,408,1810,35,Tesla
I love this update! #Amazing #Tech #Tesla 640,happy,478,174,36,Tesla
This feature is a game changer. #Innovation #Future #Crypto 203,happy,1496,609,37,Crypto
Unacceptable behavior. #Boycott #Mad #Politics 868,angry,1537,1308,38,Politics
I am worried about the future. #Uncertainty #Risk #Politics 660,fear,681,796,39,Politics
What do you think? #Question #Poll #Tesla 451,neutral,692,1817,40,Tesla
Best purchase ever. #Recommended #LoveIt #Climate 808,happy,1560,1247,41,Climate
I love this update! #Amazing #Tech #Tesla 201,happy,320,432,42,Tesla
Interesting article. #Read #Info #Samsung 748,neutral,319,248,43,Samsung
Scary news coming out. #Fear #Alert #Politics 786,fear,1077,1397,44,Politics
Finally some good news! #Winning #Happy #Climate 587,angry,45,2153,45,Climate
Market is crashing! #Panic #Crash #Politics 365,fear,445,287,46,Politics
Worst experience ever. #Scam #Refund #Politics 311,angry,688,1879,47,Politics
What do you think? #Question #Poll #Climate 624,neutral,767,973,48,Climate
Finally some good news! #Winning #Happy #Climate 906,angry,16,4409,49,Climate
What do you think? #Question #Poll #Samsung 31,neutral,796,1958,50,Samsung
Unacceptable behavior. #Boycott #Mad #Crypto 507,angry,37,2425,51,Crypto
Market is crashing! #Panic #Crash #Apple 718,fear,306,923,52,Apple
Just checking in. #Update #News #Tesla 172,neutral,1363,784,53,Tesla
Worst experience ever. #Scam #Refund #Politics 563,angry,803,1581,54,Politics
Just checking in. #Update #News #Crypto 338,neutral,47,1623,55,Crypto
Finally some good news! #Winning #Happy #Crypto 486,happy,1362,1618,56,Crypto
This feature is a game changer. #Innovation #Future #Climate 586,happy,1422,1262,57,Climate
This feature is a game changer. #Innovation #Future #Politics 685,happy,988,1939,58,Politics
Market is crashing! #Panic #Crash #Apple 722,fear,19,2570,59,Apple
Worst experience ever. #Scam #Refund #Climate 734,angry,11,1041,60,Climate
Just checking in. #Update #News #Tesla 800,neutral,1276,1833,61,Tesla
I hate this bug! #Broken #FixIt #Apple 885,angry,21,4298,62,Apple
This is terrible service. #Fail #Angry #Samsung 106,angry,594,602,63,Samsung
Scary news coming out. #Fear #Alert #Tesla 675,fear,340,1679,64,Tesla
This feature is a game changer. #Innovation #Future #Tesla 246,angry,3,3347,65,Tesla
Is my data safe? #Privacy #Hack #Tesla 129,angry,45,2790,66,Tesla
Scary news coming out. #Fear #Alert #Samsung 610,fear,553,1167,67,Samsung
Link in bio. #Link #Profile #Crypto 138,angry,48,2852,68,Crypto
Is my data safe? #Privacy #Hack #Crypto 802,fear,1578,197,69,Crypto
I hate this bug! #Broken #FixIt #Samsung 595,angry,50,2599,70,Samsung
Worst experience ever. #Scam #Refund #Samsung 676,angry,14,3145,71,Samsung
Link in bio. #Link #Profile #Apple 84,neutral,792,1298,72,Apple
I hate this bug! #Broken #FixIt #Apple 131,angry,1172,1517,73,Apple
Just checking in. #Update #News #Crypto 745,neutral,17,2711,74,Crypto
What do you think? #Question #Poll #Politics 886,angry,48,2883,75,Politics
Scary news coming out. #Fear #Alert #Climate 218,fear,242,172,76,Climate
Just checking in. #Update #News #Samsung 985,neutral,1853,1377,77,Samsung
Scary news coming out. #Fear #Alert #Apple 746,angry,2,1378,78,Apple
Interesting article. #Read #Info #Tesla 860,neutral,1157,1635,79,Tesla
Best purchase ever. #Recommended #LoveIt #Tesla 20,happy,989,1559,80,Tesla
Just checking in. #Update #News #Politics 593,neutral,1602,1825,81,Politics
Scary news coming out. #Fear #Alert #Climate 852,fear,34,3516,82,Climate
I am worried about the future. #Uncertainty #Risk #Climate 650,fear,1566,1927,83,Climate
This feature is a game changer. #Innovation #Future #Politics 753,happy,1296,656,84,Politics
Market is crashing! #Panic #Crash #Climate 645,fear,1419,1376,85,Climate
Link in bio. #Link #Profile #Apple 898,neutral,859,537,86,Apple
Best purchase ever. #Recommended #LoveIt #Samsung 991,happy,1496,1339,87,Samsung
Interesting article. #Read #Info #Apple 697,neutral,21,4511,88,Apple
This is terrible service. #Fail #Angry #Climate 820,angry,30,4018,89,Climate
This feature is a game changer. #Innovation #Future #Apple 178,happy,819,1309,90,Apple
This feature is a game changer. #Innovation #Future #Crypto 580,happy,552,1100,91,Crypto
What do you think? #Question #Poll #Crypto 12,neutral,1647,1270,92,Crypto
Finally some good news! #Winning #Happy #Tesla 831,happy,883,119,93,Tesla
What do you think? #Question #Poll #Apple 365,angry,46,1838,94,Apple
Market is crashing! #Panic #Crash #Apple 319,fear,1514,820,95,Apple
Unacceptable behavior. #Boycott #Mad #Samsung 78,angry,1064,174,96,Samsung
Link in bio. #Link #Profile #Politics 762,neutral,22,3203,97,Politics
What do you think? #Question #Poll #Tesla 370,neutral,17,1708,98,Tesla
Interesting article. #Read #Info #Tesla 120,neutral,1291,914,99,Tesla
Link in bio. #Link #Profile #Climate 69,angry,15,4544,100,Climate
This feature is a game changer. #Innovation #Future #Apple 810,happy,1486,165,101,Apple
I love this update! #Amazing #Tech #Tesla 827,happy,1462,591,102,Tesla
Worst experience ever. #Scam #Refund #Apple 638,angry,182,276,103,Apple
Link in bio. #Link #Profile #Crypto 918,neutral,134,472,104,Crypto
Worst experience ever. #Scam #Refund #Apple 52,angry,36,2873,105,Apple
Unacceptable behavior. #Boycott #Mad #Politics 970,angry,1318,1238,106,Politics
Best purchase ever. #Recommended #LoveIt #Crypto 128,happy,753,209,107,Crypto
This is terrible service. #Fail #Angry #Apple 845,angry,155,476,108,Apple
What do you think? #Question #Poll #Apple 613,neutral,31,4222,109,Apple
This is terrible service. #Fail #Angry #Apple 535,angry,175,737,110,Apple
I hate this bug! #Broken #FixIt #Samsung 538,angry,750,913,111,Samsung
Is my data safe? #Privacy #Hack #Climate 496,fear,1437,1575,112,Climate
This is terrible service. #Fail #Angry #Samsung 208,angry,825,620,113,Samsung
I love this update! #Amazing #Tech #Politics 225,happy,703,1358,114,Politics
This is terrible service. #Fail #Angry #Politics 295,angry,377,1161,115,Politics
I hate this bug! #Broken #FixIt #Climate 413,angry,667,1236,116,Climate
Interesting article. #Read #Info #Climate 795,neutral,1439,570,117,Climate
I love this update! #Amazing #Tech #Politics 257,happy,1339,352,118,Politics
This feature is a game changer. #Innovation #Future #Politics 890,happy,41,3014,119,Politics
I love this update! #Amazing #Tech #Politics 283,happy,1308,1109,120,Politics
Market is crashing! #Panic #Crash #Samsung 454,fear,906,797,121,Samsung
Worst experience ever. #Scam #Refund #Politics 741,angry,1471,315,122,Politics
Is my data safe? #Privacy #Hack #Apple 852,fear,213,1983,123,Apple
Finally some good news! #Winning #Happy #Politics 946,happy,1525,1731,124,Politics
Just checking in. #Update #News #Samsung 279,neutral,37,2003,125,Samsung
Unacceptable behavior. #Boycott #Mad #Politics 986,angry,1813,1846,126,Politics
Best purchase ever. #Recommended #LoveIt #Politics 33,happy,1891,1509,127,Politics
Best purchase ever. #Recommended #LoveIt #Tesla 664,happy,1257,1787,128,Tesla
I hate this bug! #Broken #FixIt #Tesla 191,angry,646,1351,129,Tesla
This is terrible service. #Fail #Angry #Crypto 103,angry,1964,529,130,Crypto
Worst experience ever. #Scam #Refund #Climate 294,angry,1812,1910,131,Climate
Finally some good news! #Winning #Happy #Crypto 951,happy,1454,1645,132,Crypto
This is terrible service. #Fail #Angry #Samsung 50,angry,15,2049,133,Samsung
What do you think? #Question #Poll #Samsung 807,neutral,1074,504,134,Samsung
Market is crashing! #Panic #Crash #Apple 787,fear,1769,1208,135,Apple
What do you think? #Question #Poll #Samsung 737,neutral,1031,1354,136,Samsung
I am worried about the future. #Uncertainty #Risk #Tesla 772,angry,24,3370,137,Tesla
Best purchase ever. #Recommended #LoveIt #Tesla 319,angry,33,1145,138,Tesla
What do you think? #Question #Poll #Tesla 447,neutral,1874,143,139,Tesla
Link in bio. #Link #Profile #Apple 56,neutral,1440,1786,140,Apple
Finally some good news! #Winning #Happy #Apple 84,happy,968,1938,141,Apple
I am worried about the future. #Uncertainty #Risk #Apple 198,fear,112,1870,142,Apple
Finally some good news! #Winning #Happy #Climate 627,happy,31,2283,143,Climate
This feature is a game changer. #Innovation #Future #Apple 634,happy,357,244,144,Apple
Is my data safe? #Privacy #Hack #Climate 563,fear,1230,1323,145,Climate
Is my data safe? #Privacy #Hack #Crypto 417,fear,939,1124,146,Crypto
Is my data safe? #Privacy #Hack #Tesla 470,fear,1239,125,147,Tesla
Unacceptable behavior. #Boycott #Mad #Climate 939,angry,691,1340,148,Climate
This feature is a game changer. #Innovation #Future #Climate 287,angry,42,2176,149,Climate
Market is crashing! #Panic #Crash #Tesla 506,fear,33,3568,150,Tesla
This feature is a game changer. #Innovation #Future #Crypto 799,happy,440,1481,151,Crypto
I am worried about the future. #Uncertainty #Risk #Apple 361,fear,1914,1229,152,Apple
Interesting article. #Read #Info #Apple 114,neutral,506,1660,153,Apple
Market is crashing! #Panic #Crash #Tesla 40,fear,390,1170,154,Tesla
Unacceptable behavior. #Boycott #Mad #Samsung 121,angry,591,1789,155,Samsung
This feature is a game changer. #Innovation #Future #Climate 697,happy,1997,589,156,Climate
I love this update! #Amazing #Tech #Politics 444,happy,27,4804,157,Politics
Link in bio. #Link #Profile #Climate 333,neutral,1268,1622,158,Climate
This is terrible service. #Fail #Angry #Politics 110,angry,1642,1663,159,Politics
What do you think? #Question #Poll #Samsung 603,neutral,343,412,160,Samsung
This feature is a game changer. #Innovation #Future #Crypto 687,happy,1136,1589,161,Crypto
I hate this bug! #Broken #FixIt #Climate 492,angry,1585,1751,162,Climate
I love this update! #Amazing #Tech #Samsung 1,happy,1528,1597,163,Samsung
What do you think? #Question #Poll #Tesla 688,neutral,567,601,164,Tesla
This feature is a game changer. #Innovation #Future #Politics 638,angry,47,1618,165,Politics
This is terrible service. #Fail #Angry #Tesla 566,angry,779,1379,166,Tesla
Scary news coming out. #Fear #Alert #Tesla 642,fear,711,1610,167,Tesla
Link in bio. #Link #Profile #Apple 105,neutral,432,1677,168,Apple
Unacceptable behavior. #Boycott #Mad #Tesla 798,angry,46,2577,169,Tesla
Market is crashing! #Panic #Crash #Apple 545,fear,542,617,170,Apple
Scary news coming out. #Fear #Alert #Apple 383,fear,18,1761,171,Apple
Finally some good news! #Winning #Happy #Politics 312,happy,899,543,172,Politics
This feature is a game changer. #Innovation #Future #Politics 959,happy,978,1968,173,Politics
Market is crashing! #Panic #Crash #Crypto 521,fear,396,1379,174,Crypto
This is terrible service. #Fail #Angry #Climate 673,angry,999,535,175,Climate
Is my data safe? #Privacy #Hack #Politics 437,fear,1213,650,176,Politics
Interesting article. #Read #Info #Crypto 904,neutral,985,1487,177,Crypto
What do you think? #Question #Poll #Crypto 349,neutral,1123,1745,178,Crypto
Interesting article. #Read #Info #Politics 954,neutral,1639,956,179,Politics
I hate this bug! #Broken #FixIt #Climate 519,angry,13,1674,180,Climate
I love this update! #Amazing #Tech #Samsung 861,happy,35,4444,181,Samsung
Market is crashing! #Panic #Crash #Samsung 351,fear,1506,1780,182,Samsung
This feature is a game changer. #Innovation #Future #Crypto 647,happy,27,3084,183,Crypto
Is my data safe? #Privacy #Hack #Climate 168,fear,7,1075,184,Climate
Best purchase ever. #Recommended #LoveIt #Apple 950,angry,45,4395,185,Apple
What do you think? #Question #Poll #Tesla 967,neutral,619,921,186,Tesla
Finally some good news! #Winning #Happy #Apple 77,happy,1713,1904,187,Apple
I love this update! #Amazing #Tech #Apple 923,happy,14,4194,188,Apple
Finally some good news! #Winning #Happy #Samsung 184,happy,5,4923,189,Samsung
Worst experience ever. #Scam #Refund #Climate 452,angry,1057,1112,190,Climate
Best purchase ever. #Recommended #LoveIt #Crypto 523,happy,7,4526,191,Crypto
